The format of each line in this txt is (video_path,annotation_path,start_frame_id,end_frame_id)
Human5/img,Human5/groundtruth_rect.txt,1,713
Human6/img,Human6/groundtruth_rect.txt,1,792
Human7/img,Human7/groundtruth_rect.txt,1,250
Human8/img,Human8/groundtruth_rect.txt,1,128
Human9/img,Human9/groundtruth_rect.txt,1,305
Ironman/img,Ironman/groundtruth_rect.txt,1,166
Jogging/img,Jogging/groundtruth_rect.1.txt,1,307
Jogging/img,Jogging/groundtruth_rect.2.txt,1,307
Jump/img,Jump/groundtruth_rect.txt,1,122
Jumping/img,Jumping/groundtruth_rect.txt,1,313
KiteSurf/img,KiteSurf/groundtruth_rect.txt,1,84
Lemming/img,Lemming/groundtruth_rect.txt,1,1336
Liquor/img,Liquor/groundtruth_rect.txt,1,1741
Man/img,Man/groundtruth_rect.txt,1,134
Matrix/img,Matrix/groundtruth_rect.txt,1,100
Mhyang/img,Mhyang/groundtruth_rect.txt,1,1490
MotorRolling/img,MotorRolling/groundtruth_rect.txt,1,164
MountainBike/img,MountainBike/groundtruth_rect.txt,1,228
Panda/img,Panda/groundtruth_rect.txt,1,1000
RedTeam/img,RedTeam/groundtruth_rect.txt,1,1918
Rubik/img,Rubik/groundtruth_rect.txt,1,1997
Shaking/img,Shaking/groundtruth_rect.txt,1,365
Singer1/img,Singer1/groundtruth_rect.txt,1,351
Singer2/img,Singer2/groundtruth_rect.txt,1,366
Skater/img,Skater/groundtruth_rect.txt,1,160
Skater2/img,Skater2/groundtruth_rect.txt,1,435
Skating1/img,Skating1/groundtruth_rect.txt,1,400
Skating2/img,Skating2/groundtruth_rect.1.txt,1,473
Skating2/img,Skating2/groundtruth_rect.2.txt,1,473
Skiing/img,Skiing/groundtruth_rect.txt,1,81
Soccer/img,Soccer/groundtruth_rect.txt,1,392
Subway/img,Subway/groundtruth_rect.txt,1,175
Surfer/img,Surfer/groundtruth_rect.txt,1,376
Suv/img,Suv/groundtruth_rect.txt,1,945
Sylvester/img,Sylvester/groundtruth_rect.txt,1,1345
Tiger1/img,Tiger1/groundtruth_rect.txt,6,354
Tiger2/img,Tiger2/groundtruth_rect.txt,1,365
Toy/img,Toy/groundtruth_rect.txt,1,271
Trans/img,Trans/groundtruth_rect.txt,1,124
Trellis/img,Trellis/groundtruth_rect.txt,1,569
Twinnings/img,Twinnings/groundtruth_rect.txt,1,472
Vase/img,Vase/groundtruth_rect.txt,1,271
Walking/img,Walking/groundtruth_rect.txt,1,412
Walking2/img,Walking2/groundtruth_rect.txt,1,500
Woman/img,Woman/groundtruth_rect.txt,1,597
